Days,L15-bandwidth
16/10/2018 00:00,536.574543
16/10/2018 01:00,655.191983
16/10/2018 02:00,760.9635124
16/10/2018 03:00,883.944343
16/10/2018 04:00,1182.477018
16/10/2018 05:00,1283.685811
16/10/2018 06:00,1466.537218
16/10/2018 07:00,1426.616975
16/10/2018 08:00,1557.639575
16/10/2018 09:00,1674.082281
16/10/2018 10:00,1407.71122
16/10/2018 11:00,1365.196889
16/10/2018 12:00,1318.88188
16/10/2018 13:00,1353.706299
16/10/2018 14:00,1146.530563
16/10/2018 15:00,1121.734568
16/10/2018 16:00,1197.787938
16/10/2018 17:00,1058.158871
16/10/2018 18:00,573.470684
16/10/2018 19:00,427.2525361
16/10/2018 20:00,512.3253912
16/10/2018 21:00,163.9594714
16/10/2018 22:00,194.6211263
16/10/2018 23:00,334.1382569
17/10/2018 00:00,136.2530311
17/10/2018 01:00,282.3819911
17/10/2018 02:00,152.9258488
17/10/2018 03:00,83.51319137
17/10/2018 04:00,71.43196032
17/10/2018 05:00,415.4577493
17/10/2018 06:00,785.6650144
17/10/2018 07:00,336.7046811
17/10/2018 08:00,609.761478
17/10/2018 09:00,834.1341911
17/10/2018 10:00,651.9725477
17/10/2018 11:00,1006.067019
17/10/2018 12:00,1298.210591
17/10/2018 13:00,1323.226029
17/10/2018 14:00,1255.040377
17/10/2018 15:00,1161.321425
17/10/2018 16:00,1506.133544
17/10/2018 17:00,1368.847971
17/10/2018 18:00,975.3782001
17/10/2018 19:00,899.9808458
17/10/2018 20:00,963.0240163
17/10/2018 21:00,1057.996601
17/10/2018 22:00,765.6746562
17/10/2018 23:00,646.8176317
18/10/2018 00:00,583.1071502
18/10/2018 01:00,634.2041235
18/10/2018 02:00,551.781
18/10/2018 03:00,456.0601598
18/10/2018 04:00,420.8533439
18/10/2018 05:00,479.5621521
18/10/2018 06:00,558.4583638
18/10/2018 07:00,478.7203433
18/10/2018 08:00,375.1250961
18/10/2018 09:00,342.2581182
18/10/2018 10:00,466.4283451
18/10/2018 11:00,310.2552538
18/10/2018 12:00,309.9369638
18/10/2018 13:00,418.4341432
18/10/2018 14:00,636.5955564
18/10/2018 15:00,696.07574
18/10/2018 16:00,568.5587234
18/10/2018 17:00,299.0377288
18/10/2018 18:00,207.6671509
18/10/2018 19:00,192.1371607
18/10/2018 20:00,279.0286498
18/10/2018 21:00,486.0956962
18/10/2018 22:00,569.3864709
18/10/2018 23:00,409.2239803
19/10/2018 00:00,448.9098775
19/10/2018 01:00,491.971756
19/10/2018 02:00,371.3723818
19/10/2018 03:00,503.2567466
19/10/2018 04:00,411.4761141
19/10/2018 05:00,199.9716368
19/10/2018 06:00,152.0223042
19/10/2018 07:00,191.5485034
19/10/2018 08:00,163.0798056
19/10/2018 09:00,185.6419759
19/10/2018 10:00,182.8599419
19/10/2018 11:00,189.3895766
19/10/2018 12:00,407.0738314
19/10/2018 13:00,306.560878
19/10/2018 14:00,149.8273383
19/10/2018 15:00,227.8030886
19/10/2018 16:00,212.3985194
19/10/2018 17:00,282.1770109
19/10/2018 18:00,259.5858684
19/10/2018 19:00,439.1750135
19/10/2018 20:00,501.1819703
19/10/2018 21:00,666.1268232
19/10/2018 22:00,731.5692967
19/10/2018 23:00,654.3672776
20/10/2018 00:00,726.5584706
20/10/2018 01:00,609.3003293
20/10/2018 02:00,543.5307296
20/10/2018 03:00,577.2679919
20/10/2018 04:00,870.8895874
20/10/2018 05:00,782.8376369
20/10/2018 06:00,664.9827325
20/10/2018 07:00,681.6984936
20/10/2018 08:00,579.5074205
20/10/2018 09:00,1062.421841
20/10/2018 10:00,1428.76749
20/10/2018 11:00,1594.146641
20/10/2018 12:00,1768.57641
20/10/2018 13:00,2165.082832
20/10/2018 14:00,2198.093223
20/10/2018 15:00,2009.190613
20/10/2018 16:00,1777.559188
20/10/2018 17:00,1656.284168
20/10/2018 18:00,1510.030933
20/10/2018 19:00,1172.920203
20/10/2018 20:00,994.085196
20/10/2018 21:00,743.9760881
20/10/2018 22:00,509.204354
20/10/2018 23:00,418.6998343
21/10/2018 00:00,308.7222596
21/10/2018 01:00,239.917834
21/10/2018 02:00,184.5494212
21/10/2018 03:00,180.740845
21/10/2018 04:00,134.9804344
21/10/2018 05:00,289.9737301
21/10/2018 06:00,1029.357074
21/10/2018 07:00,1284.703329
21/10/2018 08:00,1449.592979
21/10/2018 09:00,1309.724134
21/10/2018 10:00,1559.190203
21/10/2018 11:00,1621.599099
21/10/2018 12:00,1535.487877
21/10/2018 13:00,1652.024175
21/10/2018 14:00,1561.226257
21/10/2018 15:00,1478.375879
21/10/2018 16:00,1282.642773
21/10/2018 17:00,1742.975613
21/10/2018 18:00,1850.021561
21/10/2018 19:00,1648.824378
21/10/2018 20:00,1681.294268
21/10/2018 21:00,1148.090266
21/10/2018 22:00,1101.125143
21/10/2018 23:00,896.5575784
22/10/2018 00:00,982.2150782
22/10/2018 01:00,543.067958
22/10/2018 02:00,516.8739514
22/10/2018 03:00,316.3654328
22/10/2018 04:00,238.8726294
22/10/2018 05:00,356.5424874
22/10/2018 06:00,267.9856612
22/10/2018 07:00,381.0270237
22/10/2018 08:00,793.8353127
22/10/2018 09:00,2540.764148
22/10/2018 10:00,2521.91637
22/10/2018 11:00,2467.164074
22/10/2018 12:00,2435.27276
22/10/2018 13:00,2085.825766
22/10/2018 14:00,2082.368631
22/10/2018 15:00,2371.918819
22/10/2018 16:00,1974.910818
22/10/2018 17:00,1450.147023
22/10/2018 18:00,1165.391912
22/10/2018 19:00,1080.703862
22/10/2018 20:00,666.964619
22/10/2018 21:00,473.8183199
22/10/2018 22:00,396.3267356
22/10/2018 23:00,312.0011399
23/10/2018 00:00,359.178216
23/10/2018 01:00,314.7799849
23/10/2018 02:00,234.8332859
23/10/2018 03:00,133.4611858
23/10/2018 04:00,84.13798806
23/10/2018 05:00,83.21975381
23/10/2018 06:00,65.89541012
23/10/2018 07:00,47.67841529
23/10/2018 08:00,67.19507339
23/10/2018 09:00,1110.4725
23/10/2018 10:00,1827.605255
23/10/2018 11:00,2328.231776
23/10/2018 12:00,2439.346201
23/10/2018 13:00,2430.211132
23/10/2018 14:00,2505.236483
23/10/2018 15:00,2238.851586
23/10/2018 16:00,1862.746256
23/10/2018 17:00,1614.849531
23/10/2018 18:00,1031.996192
23/10/2018 19:00,808.0054367
23/10/2018 20:00,975.0821714
23/10/2018 21:00,966.3183789
23/10/2018 22:00,869.2359256
23/10/2018 23:00,729.9311406
24/10/2018 00:00,694.313849
24/10/2018 01:00,658.2145885
24/10/2018 02:00,670.7849314
24/10/2018 03:00,542.7907666
24/10/2018 04:00,468.4898639
24/10/2018 05:00,394.7033961
24/10/2018 06:00,379.2050309
24/10/2018 07:00,327.8626198
24/10/2018 08:00,215.7201892
24/10/2018 09:00,221.5506564
24/10/2018 10:00,256.3366613
24/10/2018 11:00,288.5752158
24/10/2018 12:00,304.079204
24/10/2018 13:00,497.1137859
24/10/2018 14:00,749.933889
24/10/2018 15:00,850.9268443
24/10/2018 16:00,981.0644924
24/10/2018 17:00,716.6780137
24/10/2018 18:00,559.7544897
24/10/2018 19:00,405.2236126
24/10/2018 20:00,0
24/10/2018 21:00,0
24/10/2018 22:00,0
