Days,L11,L12,L13,L14
16/10/2018 00:00,3038.660263,2532.918323,617.8936729,242.9660761
16/10/2018 01:00,2841.640786,2558.222984,521.1547739,150.3445888
16/10/2018 02:00,2935.303315,2273.447047,533.5489046,144.325321
16/10/2018 03:00,3158.510908,1602.350766,466.9444923,165.3361301
16/10/2018 04:00,2718.553242,2090.785477,489.1801446,151.1663764
16/10/2018 05:00,2721.363836,2369.289487,450.1503286,138.3737392
16/10/2018 06:00,2784.89814,2460.597316,376.2142766,182.8546388
16/10/2018 07:00,2688.131095,3656.290449,373.9026064,169.4947863
16/10/2018 08:00,2664.035499,3265.958463,338.2929775,170.2261564
16/10/2018 09:00,2743.883871,2894.264937,358.1830561,222.8094734
16/10/2018 10:00,2672.119993,3240.277182,484.4162202,153.5161415
16/10/2018 11:00,2307.074149,3008.013828,447.5395712,159.8669145
16/10/2018 12:00,2349.429523,2569.778738,449.6433727,185.9023969
16/10/2018 13:00,2847.173553,2645.887105,337.5847974,149.6081102
16/10/2018 14:00,2837.895916,2213.686837,360.3508202,214.1228723
16/10/2018 15:00,3110.992601,1997.62132,305.3465855,182.1377844
16/10/2018 16:00,3989.526788,1861.158658,397.3311508,324.5590536
16/10/2018 17:00,4081.595203,2317.422195,314.5474711,746.3953194
16/10/2018 18:00,3169.94366,2101.668038,298.2858469,383.5213173
16/10/2018 19:00,3504.6286,2524.767067,237.0953711,171.7766304
16/10/2018 20:00,3723.264033,2307.377584,288.5858321,203.4863051
16/10/2018 21:00,3161.083243,2858.026792,265.9661236,644.482769
16/10/2018 22:00,3074.240958,1804.698477,326.2345055,237.1189256
16/10/2018 23:00,3210.297509,2177.617508,272.0850872,203.4348029
17/10/2018 00:00,2717.382266,2214.90011,346.6165715,171.9350552
17/10/2018 01:00,2386.094931,1902.605624,435.7834492,155.5018399
17/10/2018 02:00,3357.740657,1870.011949,347.4991302,160.1506959
17/10/2018 03:00,3849.747917,1922.469532,282.0412703,153.5530724
17/10/2018 04:00,3240.220357,1713.046267,286.9023156,170.3441734
17/10/2018 05:00,3419.029302,1797.873441,173.228004,152.8493849
17/10/2018 06:00,3725.795416,1936.025588,206.4473107,157.9728953
17/10/2018 07:00,3519.919721,2153.708602,251.7289387,166.1062803
17/10/2018 08:00,2503.478942,2336.233075,232.5612869,183.5495772
17/10/2018 09:00,2673.352545,2001.868496,227.3121285,146.4667183
17/10/2018 10:00,2632.839221,2261.667769,237.6365704,140.5543646
17/10/2018 11:00,3105.249216,1891.17498,298.5329744,151.9127642
17/10/2018 12:00,2667.544675,1554.428788,331.174778,194.5514941
17/10/2018 13:00,3168.426951,1838.337628,275.462783,173.5467038
17/10/2018 14:00,3056.064433,1762.983515,182.8728319,204.5042766
17/10/2018 15:00,3112.678927,1828.892017,127.3374589,294.7411718
17/10/2018 16:00,2488.206724,1716.15887,121.6693609,179.0457943
17/10/2018 17:00,2750.857686,1909.14664,640.7090022,245.7856697
17/10/2018 18:00,4037.436314,1913.030606,1210.703905,343.8052885
17/10/2018 19:00,4957.424401,1837.891788,1086.136616,324.8398783
17/10/2018 20:00,4849.783507,1884.35615,840.0187589,318.6038839
17/10/2018 21:00,4393.478317,2093.780459,512.2272598,163.9322042
17/10/2018 22:00,4172.530359,1824.745606,362.7671751,185.786693
17/10/2018 23:00,4355.09712,2194.115817,299.3832467,564.9129912
18/10/2018 00:00,4630.849586,1980.559272,430.3716738,516.3313766
18/10/2018 01:00,3382.566236,2129.424662,487.3358909,159.7844286
18/10/2018 02:00,3546.947412,2132.302071,577.7239584,196.9927888
18/10/2018 03:00,3336.639014,1882.253202,604.7409461,145.6657068
18/10/2018 04:00,2993.429165,2007.753041,647.3229229,188.4754529
18/10/2018 05:00,2399.514796,1926.939622,536.1229995,161.1097944
18/10/2018 06:00,3247.061014,1864.85523,558.0776913,157.6699987
18/10/2018 07:00,2869.778779,1810.651782,570.132394,153.769103
18/10/2018 08:00,2264.157378,1763.422715,474.8962724,178.1299446
18/10/2018 09:00,2720.069064,1578.076278,544.5118675,184.6554913
18/10/2018 10:00,3632.805833,1547.636965,630.2048376,129.245823
18/10/2018 11:00,3322.726327,1719.459403,633.1502577,117.5705424
18/10/2018 12:00,3278.602406,1685.388024,603.3054452,185.0296322
18/10/2018 13:00,3715.252176,1872.47481,638.1887557,206.6949808
18/10/2018 14:00,3170.078431,2186.093407,629.6955309,183.9371244
18/10/2018 15:00,4225.987305,2158.099366,684.6714299,245.8925061
18/10/2018 16:00,3963.904235,2387.913751,643.7909814,346.2236101
18/10/2018 17:00,3212.335077,1907.064052,659.1545729,229.9956371
18/10/2018 18:00,4028.452791,2668.189238,551.3950366,192.5876947
18/10/2018 19:00,3245.704919,2254.476382,846.8847846,312.2150098
18/10/2018 20:00,2656.497111,1988.460154,919.6997486,209.4249643
18/10/2018 21:00,2547.42241,2325.623913,692.8532187,201.0856359
18/10/2018 22:00,2522.63941,2441.178817,681.0568646,221.6498041
18/10/2018 23:00,2871.253858,2417.337586,474.7848885,429.4551479
19/10/2018 00:00,2772.337354,1798.963869,204.115997,255.95142
19/10/2018 01:00,2852.681429,1786.84672,196.2774549,234.4907923
19/10/2018 02:00,3340.611668,1699.304564,300.3199707,280.808336
19/10/2018 03:00,2579.914612,1393.493297,240.0782635,194.6581827
19/10/2018 04:00,2992.637969,1395.233796,287.8447892,202.1599809
19/10/2018 05:00,3754.920515,1533.162842,247.6083229,237.0243105
19/10/2018 06:00,3812.137875,1838.24035,237.1377751,245.7294199
19/10/2018 07:00,3162.820834,1439.194338,277.588823,198.6778522
19/10/2018 08:00,2654.60431,1395.414258,277.4207425,181.9641299
19/10/2018 09:00,2806.081894,1325.883077,232.3484918,198.182837
19/10/2018 10:00,2713.778032,1402.555058,246.275835,219.040081
19/10/2018 11:00,3355.435629,1419.996596,220.6793621,228.5867671
19/10/2018 12:00,3496.375438,1470.902138,210.7918548,167.4165737
19/10/2018 13:00,3030.972922,1579.481809,217.1026804,173.1211335
19/10/2018 14:00,3569.642021,2016.602011,236.6116765,193.4709829
19/10/2018 15:00,3416.463724,2907.965419,233.9692257,184.2972549
19/10/2018 16:00,3062.568837,2920.022359,288.9007053,176.123317
19/10/2018 17:00,3186.06661,1623.118026,279.5348841,579.3146027
19/10/2018 18:00,2740.504499,2027.062654,260.9372566,207.5663152
19/10/2018 19:00,3026.965953,2020.200826,226.219072,165.3854853
19/10/2018 20:00,2957.498648,1716.479259,211.553578,228.5893433
19/10/2018 21:00,3698.437881,1396.341961,261.2285035,0
19/10/2018 22:00,3807.544401,1582.370573,242.1878952,217.0634941
19/10/2018 23:00,4006.72286,1535.170344,244.3496928,200.2971442
20/10/2018 00:00,3840.894914,1788.898851,270.6990865,205.3772073
20/10/2018 01:00,3539.295221,1848.211063,263.7402383,238.1890175
20/10/2018 02:00,2696.6114,1868.39764,297.2097378,216.4282122
20/10/2018 03:00,3317.111024,1702.841365,263.1584881,230.1713277
20/10/2018 04:00,3840.619208,1962.183007,303.2868645,214.0097707
20/10/2018 05:00,3272.074247,2433.87584,277.4681765,226.0327559
20/10/2018 06:00,3407.660079,1847.425757,180.073318,254.3864591
20/10/2018 07:00,2942.694441,1749.193775,168.1372506,219.5370464
20/10/2018 08:00,2603.352989,1768.502958,191.2212815,221.6025943
20/10/2018 09:00,2821.389307,2073.827387,213.0201627,209.3764491
20/10/2018 10:00,2945.07134,2181.667565,201.6238419,252.9054159
20/10/2018 11:00,2701.047206,2146.185494,188.7888374,229.6469731
20/10/2018 12:00,2674.31949,1871.803034,202.4811197,177.4122825
20/10/2018 13:00,3155.150535,2122.392732,249.4817615,225.6934126
20/10/2018 14:00,3141.374841,1607.180277,374.784709,178.3079756
20/10/2018 15:00,2950.131887,1454.797677,503.5771839,194.1218375
