Days,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
16/10/2018 00:00,536.574543,352.2844174,5654.384231,2658.911045,774.3880632,2821.124508,2344.85541,1233.399364,2128.24541,2205.765856,1143.740056,273.0586482
16/10/2018 01:00,655.191983,267.8999768,6123.086753,3610.497325,694.9736543,2960.172635,2181.745925,1335.794233,2230.006882,2228.603033,1147.733142,338.9798594
16/10/2018 02:00,760.9635124,171.9000882,5433.842609,2274.580102,686.9917377,2911.883532,2119.900384,2291.870176,2201.315348,2102.097576,744.1410475,473.2767655
16/10/2018 03:00,883.944343,145.7814906,4759.969613,2107.654833,544.5542178,2425.131625,2417.337116,2067.6815,2129.428665,2091.697847,577.1801427,415.8732366
16/10/2018 04:00,1182.477018,276.8650257,4858.412095,2433.907532,673.3687976,2780.587905,2744.173171,1409.452032,2173.219211,2350.825861,685.8426027,331.9245574
16/10/2018 05:00,1283.685811,378.8642012,4360.582358,3527.081854,637.8140905,3151.200746,2605.244713,1866.767893,2171.859358,2164.712921,558.4607627,341.8616704
16/10/2018 06:00,1466.537218,388.3502041,4660.07956,1982.496385,779.3288947,2754.979006,2483.763179,1346.892395,2119.919158,2218.684528,685.2293524,322.1157347
16/10/2018 07:00,1426.616975,396.703076,5019.141649,2260.364958,623.6757466,3278.882399,3319.970308,1266.016587,2182.903375,2213.902368,784.3373134,317.2728914
16/10/2018 08:00,1557.639575,342.8137076,4871.354609,3057.892287,658.4684489,2690.46377,3553.141324,1341.065812,2321.780469,2244.645762,1096.391914,349.1597422
16/10/2018 09:00,1674.082281,364.5678458,4653.316159,2603.076137,664.1058147,2913.215025,3326.89419,1274.888438,2460.452355,2208.513355,1193.617794,311.0609045
16/10/2018 10:00,1407.71122,313.6889308,4668.608392,3092.064394,620.1939601,3605.078829,3427.049592,1785.29269,2343.343348,2322.42194,995.9801037,383.9814605
16/10/2018 11:00,1365.196889,1324.527887,4702.542854,3683.335389,582.4424559,3286.166545,3547.795972,1940.036985,2254.693879,2172.906832,1041.006639,367.8873692
16/10/2018 12:00,1318.88188,1184.644665,4420.761796,3904.198035,585.5193382,3086.040587,3389.386496,2313.251455,2371.896811,2270.425003,1228.222116,330.9264291
16/10/2018 13:00,1353.706299,660.943252,4360.837569,2592.22747,572.2080423,2706.925734,2814.105445,2069.370676,2214.291846,2226.103507,1206.829573,275.6240008
16/10/2018 14:00,1146.530563,290.360873,4342.118516,2518.072036,549.5080683,2475.39118,2578.294625,1833.605726,2200.433937,2134.61105,1244.053969,364.266019
16/10/2018 15:00,1121.734568,546.2997447,4346.659652,1839.475175,753.4469403,2550.043009,2514.814063,1720.370569,2248.598334,2143.176074,1230.379712,341.1781944
16/10/2018 16:00,1197.787938,730.5813943,4348.975483,2584.214001,667.0626207,2263.512569,2047.548048,2359.199973,2244.442543,2119.413533,2002.998961,457.429168
16/10/2018 17:00,1058.158871,691.7734221,4417.710983,2576.566376,681.3209394,2334.068343,1927.037442,3045.20606,2324.24475,2108.206891,2118.529967,375.8059542
16/10/2018 18:00,573.470684,483.4847642,2776.540873,2228.02673,703.4100118,2458.748562,2134.32889,2468.373035,2644.723863,2312.885272,1603.019786,334.4984483
16/10/2018 19:00,427.2525361,569.5127284,1893.845223,2259.508651,1039.873467,3080.080835,2573.691547,2868.568895,2327.479532,2313.735802,4262.562348,259.4866039
16/10/2018 20:00,512.3253912,716.4603938,2024.874726,3424.522826,1016.064662,2669.071809,2804.075077,2826.346147,2232.82461,2326.869913,4045.306321,328.6679483
16/10/2018 21:00,163.9594714,459.5174745,1962.637368,2709.068182,684.4059137,3242.115459,2922.450377,2167.517035,2533.062622,2109.894681,4695.093922,322.6969169
16/10/2018 22:00,194.6211263,367.2893608,2313.281021,2282.064502,697.5216924,2599.953308,2354.757132,2229.12968,955.5431139,798.9420049,4309.933845,305.5074781
16/10/2018 23:00,334.1382569,832.7446152,2334.671226,2449.009366,883.1464459,2391.508712,2421.99029,2013.777816,262.2092788,186.7755192,2423.497397,207.2263959
17/10/2018 00:00,136.2530311,521.8516796,1971.052057,2413.351446,664.1302432,2952.570238,2350.07313,2620.88207,326.4885478,150.9299552,2332.795488,391.7936474
17/10/2018 01:00,282.3819911,582.7468462,2137.43675,2190.912545,597.1962801,2885.364283,2319.618725,3228.77766,277.2363082,112.9206586,1641.790819,466.1448676
17/10/2018 02:00,152.9258488,413.4533375,2140.879015,1888.892193,650.8498642,2824.90799,2265.385659,3117.942694,265.8532546,158.1231723,1093.548147,406.7431329
17/10/2018 03:00,83.51319137,487.4282441,1718.901774,2021.188909,1084.14095,2799.738058,2080.514738,3359.995055,386.9410134,232.1292111,1069.851197,336.8673001
17/10/2018 04:00,71.43196032,865.0145312,1833.340167,2871.772934,903.5831502,2967.420966,1918.951936,2438.38777,512.1380283,185.210295,967.2701692,317.6978896
17/10/2018 05:00,415.4577493,861.876,3885.227475,2817.765524,735.2666073,2889.873159,2067.653025,1380.452963,314.3840376,127.8170573,928.5515192,247.1517655
17/10/2018 06:00,785.6650144,731.6040132,5200.261507,2366.963314,953.1069739,3027.395618,2196.558401,1623.411634,257.5126849,410.4521595,1051.68277,209.4902066
17/10/2018 07:00,336.7046811,807.2756439,3384.162317,2102.413649,1006.685395,3257.361915,2598.333108,1848.426767,323.7063294,87.71934472,902.6482528,227.0349725
17/10/2018 08:00,609.761478,758.0236801,3519.145689,1618.387279,620.7715865,3391.68034,2680.671724,1448.023696,207.902946,129.0666937,1000.277994,223.5690574
17/10/2018 09:00,834.1341911,918.6426702,4405.55249,2201.940655,746.127911,3125.178912,2440.317058,1632.210798,190.7232536,242.825664,1073.120501,186.2799961
17/10/2018 10:00,651.9725477,980.9188897,3503.590766,2128.818998,678.855727,2990.886024,2491.278296,1524.963929,318.5611109,255.3409622,980.7495504,251.7912162
17/10/2018 11:00,1006.067019,995.2915834,3237.875603,2077.22726,756.4563347,2710.106429,2339.932548,1321.479752,208.882147,85.78475492,851.2483765,210.9060955
17/10/2018 12:00,1298.210591,683.4869353,4005.946424,1716.852708,708.5697813,2220.439265,2062.461946,1302.869248,302.1309044,232.5914177,811.9185574,207.5857459
17/10/2018 13:00,1323.226029,901.4091096,4820.787603,2071.022732,934.6315856,2189.812871,1935.256179,1802.962887,520.5261377,167.7369556,767.2204817,192.9328639
17/10/2018 14:00,1255.040377,569.999518,4637.1247,1412.222064,950.4923267,2170.601101,1778.458638,1844.443226,419.3373125,199.2726546,819.9948844,165.6563163
17/10/2018 15:00,1161.321425,671.3622225,4974.461668,1941.337819,787.9441922,2355.665067,2030.254323,1697.215955,325.1720091,200.3900134,1109.304046,249.8503519
17/10/2018 16:00,1506.133544,634.889188,5379.473849,2243.462537,537.7913032,2313.454875,2038.53799,1528.404843,318.4401214,133.5473365,968.0838661,226.416547
17/10/2018 17:00,1368.847971,595.5586921,5373.688613,2115.831067,612.3228677,2540.920999,2211.990931,2149.319745,394.9616302,97.76815947,989.4534059,265.1543987
17/10/2018 18:00,975.3782001,699.2037092,5366.577127,2134.131044,957.6417602,2208.535827,1872.544197,2068.12557,298.2647436,220.7878879,885.3636908,432.1088197
17/10/2018 19:00,899.9808458,495.5160151,4212.912233,1905.07104,1508.450071,2025.613979,1729.944654,2716.669849,236.7632426,179.308078,774.0904327,491.6654864
17/10/2018 20:00,963.0240163,433.9947126,3819.325329,1871.709289,1539.990277,2071.024671,1895.20566,2829.019932,309.7462685,170.9659316,636.1583944,622.3079769
17/10/2018 21:00,1057.996601,453.2414802,3711.790285,2065.132704,1447.490989,2404.863374,2277.350933,2918.300994,475.8647803,186.6309981,685.8563138,705.2835407
17/10/2018 22:00,765.6746562,617.7840798,3566.803695,2049.395068,1249.685172,2329.723489,2177.160065,2920.649264,430.4974649,147.8771747,614.3522026,863.9327854
17/10/2018 23:00,646.8176317,776.9908184,3150.670641,1935.37328,1532.985232,2052.710232,1831.36832,2829.918713,329.4026967,239.7725837,896.5247405,1089.436671
18/10/2018 00:00,583.1071502,684.0087202,2567.377492,1876.532715,1443.216024,1973.635421,1814.846839,3038.597681,478.6350496,119.4923225,723.6541836,1185.44933
18/10/2018 01:00,634.2041235,678.4379413,2940.907327,2547.774666,1144.46801,2156.648077,2023.893684,2883.445926,331.1279039,122.7080514,413.7152949,1402.696322
18/10/2018 02:00,551.781,598.0878086,2733.750014,2360.157178,1234.234446,1738.830506,1659.462847,2509.28812,94.41729826,60.85772167,417.2400189,1161.284614
18/10/2018 03:00,456.0601598,715.9679775,2703.286726,2863.088321,999.5592965,1799.807773,1568.424912,1920.188915,154.6503939,78.31089944,518.6023469,1033.338457
18/10/2018 04:00,420.8533439,818.1818963,2981.238859,2563.646993,910.6792691,2192.279994,1977.008441,2263.760955,111.373585,84.42036873,543.0254479,500.8668722
18/10/2018 05:00,479.5621521,776.8764153,3263.58271,2142.826589,793.0902221,2101.935929,1994.481536,1670.192644,102.2211509,137.1595446,473.1748316,446.8065199
18/10/2018 06:00,558.4583638,559.7264174,3605.40411,2681.78216,699.5976105,2186.155378,2098.085185,1489.821728,133.9640498,95.44129125,503.1196384,342.8963253
18/10/2018 07:00,478.7203433,818.4214225,3573.910141,2564.113466,874.1811344,2764.78895,2040.633772,1994.122473,178.5875421,120.7125991,670.7373742,352.7488151
18/10/2018 08:00,375.1250961,618.131388,3153.939046,1797.175411,768.0553995,2420.504512,1996.696903,1426.340135,145.746288,81.31281785,628.0306048,360.4587808
18/10/2018 09:00,342.2581182,545.9603907,2659.57562,1392.950126,974.7448047,2085.555093,1699.797731,1483.00786,143.1296199,111.7562347,526.0798309,363.4436141
18/10/2018 10:00,466.4283451,581.4655549,2617.958204,1430.797785,984.9455785,1889.892282,1538.839205,2054.221282,221.2150311,89.47117245,315.2846717,321.8207027
18/10/2018 11:00,310.2552538,726.6971392,2566.279377,1716.871396,788.337732,1931.815414,1704.872198,1675.260041,252.5664626,207.4682939,473.2026003,342.0848504
18/10/2018 12:00,309.9369638,673.2741169,2429.023406,1420.704021,876.1418493,1979.779689,1951.224593,1905.268108,147.7036787,182.4590702,500.7920647,279.9623095
18/10/2018 13:00,418.4341432,832.395843,2967.902484,1592.646914,1045.324011,1996.27256,2040.390177,2164.876706,167.281713,139.2613731,465.7526458,328.6960069
18/10/2018 14:00,636.5955564,939.5343602,2958.615557,2248.336354,817.2575012,2085.527529,1917.898013,1239.350573,178.5262132,126.4270177,532.3689037,364.7152127
18/10/2018 15:00,696.07574,930.7785114,2997.897496,2624.42687,1040.407625,2159.637402,2001.170088,1650.739822,121.0196279,158.4989837,641.1755368,386.7551394
18/10/2018 16:00,568.5587234,1043.728504,2821.195313,2544.919676,1011.808917,2105.518355,1859.720793,1882.152831,125.1870217,130.1460931,615.9982347,603.0819968
18/10/2018 17:00,299.0377288,748.0824624,2232.768163,2795.546148,802.3875702,2155.475012,1919.157076,1563.671115,742.4536789,93.36665393,617.8907777,380.5820385
18/10/2018 18:00,207.6671509,842.4426575,2841.930476,2914.93019,1031.362645,2467.57323,2005.483919,1475.115377,519.0825411,109.8482988,590.2750819,324.6149166
18/10/2018 19:00,192.1371607,695.2899856,2771.317375,2853.224677,907.6188938,2050.449276,1836.564988,1428.08098,662.1053236,142.9182341,541.1082752,616.2699793
18/10/2018 20:00,279.0286498,695.6880605,2118.266129,2972.799304,835.2911364,1880.809227,1838.516504,1313.155078,833.9564156,166.5440799,452.7519282,363.1974322
18/10/2018 21:00,486.0956962,690.9073,1981.730396,2861.246598,797.8940364,2168.094619,1839.340868,1409.448545,600.1631491,175.3462707,424.0479768,441.8607608
18/10/2018 22:00,569.3864709,656.4252483,1603.167684,1990.757174,660.8024645,1896.868038,1799.976411,1240.540252,533.1402036,101.2632458,358.4383757,371.5220116
18/10/2018 23:00,409.2239803,582.7711824,1267.507497,2184.535204,955.7516074,1628.856225,1175.034713,1847.026302,798.5566955,137.5833871,259.1038798,429.2332087
19/10/2018 00:00,448.9098775,435.6843378,1294.369827,2527.852551,982.0730738,1570.282934,1314.513292,2062.412231,795.4890492,127.2291244,290.3097438,263.8347336
19/10/2018 01:00,491.971756,458.0748088,1443.508296,3446.109475,994.2831082,2067.90852,1314.386935,2249.22529,778.3430663,106.854035,274.1772857,325.1361774
19/10/2018 02:00,371.3723818,231.6071928,1582.0305,2470.150349,1056.047483,1863.73824,988.4961845,2294.113144,796.0703026,115.358047,249.6897026,573.2227386
19/10/2018 03:00,503.2567466,205.5952195,1786.654243,1193.851974,859.1306126,1500.397735,892.8240385,2276.02431,741.1861393,93.08897545,221.3105587,416.3630615
19/10/2018 04:00,411.4761141,525.6963061,1418.91647,1827.990902,890.4044725,1365.494132,979.8517824,2327.783136,578.7798656,124.1749594,270.1316787,375.6233003
