Days,L1,L2,L11,L12,L15,L16,L27,L28
16/10/2018 00:00,298.2263021,364.4173997,3038.660263,2532.918323,536.574543,352.2844174,543.5448069,347.8296798
16/10/2018 01:00,237.4357169,462.2492658,2841.640786,2558.222984,655.191983,267.8999768,660.2523257,275.3345074
16/10/2018 02:00,204.1501277,641.9444133,2935.303315,2273.447047,760.9635124,171.9000882,760.5569084,168.4746512
16/10/2018 03:00,142.5840687,339.7140289,3158.510908,1602.350766,883.944343,145.7814906,889.1677617,143.8303229
16/10/2018 04:00,429.3053595,493.6924826,2718.553242,2090.785477,1182.477018,276.8650257,1177.313635,271.5968043
16/10/2018 05:00,183.1882813,621.8555978,2721.363836,2369.289487,1283.685811,378.8642012,1292.394841,384.1637142
16/10/2018 06:00,189.0386774,458.3254558,2784.89814,2460.597316,1466.537218,388.3502041,1469.424437,385.0346573
16/10/2018 07:00,205.2861276,360.9584741,2688.131095,3656.290449,1426.616975,396.703076,1427.23685,389.7414949
16/10/2018 08:00,389.3706558,536.3885457,2664.035499,3265.958463,1557.639575,342.8137076,1563.848628,346.7529153
16/10/2018 09:00,187.9392461,617.1112641,2743.883871,2894.264937,1674.082281,364.5678458,1668.702482,358.9998942
16/10/2018 10:00,441.0959672,572.5385219,2672.119993,3240.277182,1407.71122,313.6889308,1412.320381,309.0342108
16/10/2018 11:00,236.5704604,464.9886454,2307.074149,3008.013828,1365.196889,1324.527887,1371.432957,1320.892056
16/10/2018 12:00,181.3401328,469.4726549,2349.429523,2569.778738,1318.88188,1184.644665,1323.232959,1183.41543
16/10/2018 13:00,212.6221404,514.4263756,2847.173553,2645.887105,1353.706299,660.943252,1352.416382,653.2719215
16/10/2018 14:00,237.5941617,538.2792736,2837.895916,2213.686837,1146.530563,290.360873,1164.864252,289.1956924
16/10/2018 15:00,228.4836457,675.6173006,3110.992601,1997.62132,1121.734568,546.2997447,1117.379256,548.4301597
16/10/2018 16:00,469.8181694,602.3305943,3989.526788,1861.158658,1197.787938,730.5813943,1197.576996,725.8614117
16/10/2018 17:00,514.9893205,510.5408713,4081.595203,2317.422195,1058.158871,691.7734221,1062.467722,687.312717
16/10/2018 18:00,380.5679832,432.4959657,3169.94366,2101.668038,573.470684,483.4847642,573.0105487,480.7145409
16/10/2018 19:00,509.6898342,515.3461982,3504.6286,2524.767067,427.2525361,569.5127284,428.6524979,566.7566012
16/10/2018 20:00,641.712519,486.3462721,3723.264033,2307.377584,512.3253912,716.4603938,525.4686604,711.9327713
16/10/2018 21:00,317.5821455,557.227963,3161.083243,2858.026792,163.9594714,459.5174745,161.137793,451.8162675
16/10/2018 22:00,249.8843298,463.2514706,3074.240958,1804.698477,194.6211263,367.2893608,195.0780933,372.3986786
16/10/2018 23:00,247.8656281,655.4658086,3210.297509,2177.617508,334.1382569,832.7446152,334.9037577,829.0785875
17/10/2018 00:00,197.4348172,520.2528489,2717.382266,2214.90011,136.2530311,521.8516796,140.6358334,515.6632364
17/10/2018 01:00,194.4713527,699.931158,2386.094931,1902.605624,282.3819911,582.7468462,278.8196722,579.9689231
17/10/2018 02:00,325.455634,921.5083589,3357.740657,1870.011949,152.9258488,413.4533375,155.2020723,410.2257677
17/10/2018 03:00,316.2074873,979.9309882,3849.747917,1922.469532,83.51319137,487.4282441,83.20352614,484.7085412
17/10/2018 04:00,293.6790134,1354.633626,3240.220357,1713.046267,71.43196032,865.0145312,85.49085342,866.6604508
17/10/2018 05:00,206.3711944,1339.32855,3419.029302,1797.873441,415.4577493,861.876,423.3617804,859.9213433
17/10/2018 06:00,230.7206949,1138.330496,3725.795416,1936.025588,785.6650144,731.6040132,787.7542694,731.539784
17/10/2018 07:00,208.7031455,813.5799509,3519.919721,2153.708602,336.7046811,807.2756439,337.1193305,808.9116026
17/10/2018 08:00,252.9765666,946.4890587,2503.478942,2336.233075,609.761478,758.0236801,608.048474,750.5726665
17/10/2018 09:00,158.0115459,1073.776231,2673.352545,2001.868496,834.1341911,918.6426702,836.9098697,917.5880424
17/10/2018 10:00,181.3208159,843.4898035,2632.839221,2261.667769,651.9725477,980.9188897,648.2140902,969.7575053
17/10/2018 11:00,155.4748845,765.9012754,3105.249216,1891.17498,1006.067019,995.2915834,1008.726681,994.5207481
17/10/2018 12:00,214.4392216,694.6755662,2667.544675,1554.428788,1298.210591,683.4869353,1302.948048,679.7792734
17/10/2018 13:00,258.0056652,598.3150622,3168.426951,1838.337628,1323.226029,901.4091096,1330.23091,900.0880818
17/10/2018 14:00,272.6495633,558.9395174,3056.064433,1762.983515,1255.040377,569.999518,1257.376762,570.6789937
17/10/2018 15:00,293.1728476,480.0623887,3112.678927,1828.892017,1161.321425,671.3622225,1164.33152,672.2357926
17/10/2018 16:00,290.8290098,621.887019,2488.206724,1716.15887,1506.133544,634.889188,1549.191411,755.2223116
17/10/2018 17:00,241.5917122,547.4209956,2750.857686,1909.14664,1368.847971,595.5586921,1403.412846,747.1892528
17/10/2018 18:00,351.6916601,520.3024952,4037.436314,1913.030606,975.3782001,699.2037092,984.2144465,699.4050808
17/10/2018 19:00,227.408458,408.4525632,4957.424401,1837.891788,899.9808458,495.5160151,903.2562261,492.9417617
17/10/2018 20:00,210.3757038,551.9816354,4849.783507,1884.35615,963.0240163,433.9947126,969.2173995,428.8723936
17/10/2018 21:00,482.8695196,499.8069307,4393.478317,2093.780459,1057.996601,453.2414802,1064.442754,449.6361494
17/10/2018 22:00,263.1527228,479.8323104,4172.530359,1824.745606,765.6746562,617.7840798,760.6612354,610.273735
