Days,L27,L28,L28,L30,L31,L32,L33,L34
16/10/2018 00:00,543.5448069,347.8296798,4410.267499,2411.257769,4083.496898,6904.156344,971.1552299,585.6528503
16/10/2018 01:00,660.2523257,275.3345074,4606.081504,2448.702371,4579.987347,7620.593864,918.0148775,719.1411973
16/10/2018 02:00,760.5569084,168.4746512,4060.372136,2879.20252,4247.329874,6759.717176,713.7246408,903.5773999
16/10/2018 03:00,889.1677617,143.8303229,4457.416745,1841.742072,3547.33448,6205.642806,765.4246679,901.8497042
16/10/2018 04:00,1177.313635,271.5968043,3575.381638,2040.204663,3629.467995,6676.882832,938.1076702,764.5898898
16/10/2018 05:00,1292.394841,384.1637142,3553.772163,2097.382802,4848.196866,7045.991452,834.4340517,1264.993797
16/10/2018 06:00,1469.424437,385.0346573,3200.990824,1587.254695,4168.901286,6933.081221,922.1762812,935.342385
16/10/2018 07:00,1427.23685,389.7414949,4015.978447,1564.755146,4331.221992,7547.895045,1089.275449,763.8243578
16/10/2018 08:00,1563.848628,346.7529153,3801.98968,1968.051571,3961.206121,7740.348566,1162.926546,885.5650739
16/10/2018 09:00,1668.702482,358.9998942,3429.19689,1914.461053,4179.803826,7791.149476,1425.513609,755.8269166
16/10/2018 10:00,1412.320381,309.0342108,3877.680265,2586.451252,4527.375057,7693.480051,1533.81092,1253.168403
16/10/2018 11:00,1371.432957,1320.892056,4324.633099,2298.083785,5279.770374,8095.65329,1300.496534,1149.526294
16/10/2018 12:00,1323.232959,1183.41543,4114.664311,2610.958089,4907.147884,7619.737146,1225.682622,1162.591619
16/10/2018 13:00,1352.416382,653.2719215,3869.032364,2033.338378,4461.920346,7463.47292,692.2783498,1041.684672
16/10/2018 14:00,1164.864252,289.1956924,3884.988097,1868.448111,4478.739089,7102.714478,741.2585342,1011.871521
16/10/2018 15:00,1117.379256,548.4301597,3592.746049,1353.467143,4307.015576,7138.412609,716.0245107,908.6807427
16/10/2018 16:00,1197.576996,725.8614117,3154.002994,2199.087788,4948.042551,7088.355943,632.782175,860.1031017
